Tahun;Bahan Makanan;Makanan Jadi, Minuman, Rokok, dan Tembakau;Perumahan, Air, Listrik, Gas, dan Bahan Bakar;Sandang;Kesehatan;Pendidikan, Rekreasi, dan Olahraga;Transportasi, Komunikasi, dan Jasa Keuangan;Umum
September;-0.73;0.6;1.68;0.67;0.14;2.13;0.75;0.64
Agustus;-2.35;0.41;0.89;-2.68;0.2;4.15;0.01;-0.21
Juli;1.65;1.96;1.65;0.06;1.05;2.34;6.83;2.12
Juni;1.35;2.38;1.61;0.69;0.88;0.35;3.4;1.67
Mei;1.5;0.99;0.81;1.97;1.04;0.24;0.69;1.13
April;-0.99;0.91;1.01;1.59;1.69;0.61;0.54;0.46
Maret;0.94;1.17;1.2;0.7;1.31;0.39;0.37;0.89
Februari;1.69;0.7;0.66;-0.06;1.04;0.38;0.56;0.87
Januari;-0.33;0.98;0.62;0.8;0.33;0.16;-0.41;0.33
2000;4;11.08;10.1;10.19;9.57;17.51;12.66;9.35
Desember;5.09;0.77;0.37;2.81;0.41;0.39;1.16;1.94
November;2.32;1.77;1.29;0.51;0.97;0.13;0.31;1.32
Oktober;0.25;2.02;1.5;0.63;0.83;0.62;2.43;1.16
September;-2.4;0.56;0.69;0.04;2.5;1.19;1.06;-0.06
Agustus;-1.87;0.86;-0.37;-0.62;0.44;9.63;0.72;0.51
Juli;2;0.97;0.68;1.64;1.29;1.77;0.45;1.28
Juni;0.16;0.97;0.4;0.82;0.33;0.29;0.75;0.5
Mei;-0.03;-0.09;1.84;0.85;0.4;0.81;2.47;0.84
April;-1.6;2.41;1.17;0.17;1.1;0.97;1.62;0.56
Maret;-2.28;-0.09;0.42;0.13;0.26;0.94;0.32;0.45
Februari;-0.33;0.08;0.47;0.98;0.44;-0.12;-0.13;0.07
Januari;2.93;0.36;0.47;1.83;0.23;-0.01;0.86;1.32
